	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1
4	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1
5	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1
8	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1
9	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1
10	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0
11	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
14	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
16	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
17	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1
19	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0
20	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1
21	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0
