	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
4	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
5	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1
6	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0
11	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	0
12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
15	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0
16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1
18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0
20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
21	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
